cohort,time,event_time,att,se,n_treated,n_control,n_obs,treatment
32,50,18,0.017101732549402036,0.028292125303558065,55,1160,1731,Online
32,56,24,0.34052441681165624,0.11153058695253468,55,1098,1624,Online
32,62,30,0.13221038792519024,0.09378980560312598,55,937,1337,Online
32,68,36,0.0736423516668508,0.07401224830101674,55,937,1436,Online
41,41,0,0.03421537384975455,0.013745914534469739,67,1262,2108,Online
41,47,6,0.044106515703323794,0.018002206399129143,67,1170,1906,Online
41,53,12,-1.145329856061333,0.12357582963452593,67,1098,1462,Online
41,59,18,0.20889615536922235,0.09078729388735686,67,1061,1640,Online
41,65,24,0.06925851248940611,0.1066585691688982,67,937,1500,Online
41,71,30,0.15178039825431375,0.07383734284880107,67,927,1518,Online
41,77,36,0.00011760635383705868,0.0397716232542069,67,790,1322,Online
46,46,0,-0.14153546650322552,0.032310419068908185,92,1170,2022,Online
46,52,6,-0.5550999839023423,0.16606254871171525,92,1160,1510,Online
46,58,12,0.13383357354021058,0.07516531606956281,92,1098,1817,Online
46,64,18,0.16514866332206238,0.09749726583001124,92,937,1564,Online
46,70,24,0.041961855491733924,0.05750817593670792,92,927,1613,Online
46,76,30,0.016464739115430595,0.05116141805971438,92,790,1397,Online
46,82,36,-0.03157540436222628,0.03989732665200947,92,789,1396,Online
48,48,0,-0.18113606698310772,0.012113339833497421,10,1160,1810,Online
48,54,6,-0.9297442870835182,0.14438075212367463,10,1098,1569,Online
48,60,12,-0.35016730758716136,0.14420698324982656,10,1061,1537,Online
48,66,18,-0.2569018832068452,0.09015922833253844,10,937,1415,Online
48,72,24,-0.4384609832792107,0.05023840618824912,10,927,1410,Online
48,78,30,-0.5372005877458137,0.0484580938221115,10,790,1243,Online
48,84,36,-0.6428425663018646,0.05373358089770833,10,789,1198,Online
53,53,0,-0.8239229705398761,0.11658624261264555,62,1098,1444,Online
53,59,6,-0.07939730987947831,0.09718937159115984,62,1061,1612,Online
53,65,12,0.021314022173845756,0.10878456491532949,62,937,1482,Online
53,71,18,0.16267455418570748,0.06862848788696824,62,927,1502,Online
53,77,24,-0.08984233390648251,0.03422695646108621,62,790,1306,Online
53,83,30,0.04843040677397458,0.03775062551199414,62,789,1292,Online
53,89,36,-0.03947695226037372,0.03420263103273717,62,785,1264,Online
59,59,0,-0.08942018714145451,0.10676816276195616,37,1061,1542,Online
59,65,6,0.06743035994160566,0.08844475492690404,37,937,1413,Online
59,71,12,0.040133328639028805,0.10405132156127223,37,927,1430,Online
59,77,18,0.008939492905575702,0.11136097510984119,37,790,1250,Online
59,83,24,-0.13941914001275074,0.11023979498451882,37,789,1236,Online
59,89,30,0.0014930468488319492,0.12101674405585705,37,785,1210,Online
59,95,36,0.22243753061466637,0.1804165014603817,37,785,1086,Online
61,61,0,-0.698332429572088,0.09651163787620072,124,937,1520,Online
61,67,6,-0.4381918617174738,0.05401550900090166,124,937,1604,Online
61,73,12,-0.5766661196449404,0.07365785299390014,124,865,1467,Online
61,79,18,-0.10617546446630993,0.09747280416338394,124,790,1420,Online
61,85,24,-0.11196688934863852,0.08690809411235961,124,785,1363,Online
61,91,30,-0.02100493519662791,0.16127193485536354,124,785,1272,Online
61,97,36,-0.0428306118347877,0.06831291142015536,124,785,1220,Online
69,69,0,0.25619935486771556,0.044230240619146884,2,935,1463,Online
69,75,6,0.36259591827701737,0.08967195688861601,2,790,1257,Online
69,81,12,0.528596898124161,0.08462037060227176,2,789,1256,Online
69,87,18,0.4090705273671584,0.09390493587785015,2,785,1210,Online
69,93,24,0.7781553183382173,0.145820468704128,2,785,1099,Online
69,99,30,0.4706492601352795,0.10035690225320397,2,785,1019,Online
