egt,att,se,method,t_stat,p_value,ci_lo,ci_hi
35,0.004683195592251662,0.05766949249060696,TWFE_SunAb,0.08120750486948446,0.935280559528533,-0.10834693269604104,0.11771332388054437
36,-0.04765840220370669,0.04663720663685467,TWFE_SunAb,-1.021896585162222,0.3068850387278057,-0.1390656475514942,0.0437488431440808
37,-0.03553719008251989,0.05104526778532625,TWFE_SunAb,-0.6961897081620484,0.48634615597761366,-0.13558407652296195,0.06450969635792217
38,-0.01570247933869002,0.05167267405624496,TWFE_SunAb,-0.3038836217687921,0.7612306716776266,-0.11697905947380732,0.0855741007964273
39,-0.029090909091281786,0.06409313466305759,TWFE_SunAb,-0.45388494796228757,0.6499336289289751,-0.15471114468715036,0.09652932650458679
40,-0.037121212121564516,0.07002862060537407,TWFE_SunAb,-0.5300862961552579,0.5960783760125437,-0.17437478639511717,0.10013236215198812
41,-0.04469696969734218,0.0797799367170416,TWFE_SunAb,-0.5602532608652041,0.5753347226739506,-0.20106277235162834,0.11166883295694396
42,-0.06628787878822626,0.07243579930701223,TWFE_SunAb,-0.9151259380361277,0.36017478278743087,-0.20825943662134158,0.07568367904488907
43,-0.04886363636398816,0.08214593876430411,TWFE_SunAb,-0.5948393444524306,0.5519809130864888,-0.20986671781825686,0.11213944509028054
44,-0.029166666667016894,0.11124073955515415,TWFE_SunAb,-0.26219410967288476,0.7931838518428315,-0.24719450980871915,0.18886117647468537
45,-0.06969696969732804,0.05534084302944058,TWFE_SunAb,-1.259412865471713,0.20794686971697754,-0.17816302890911606,0.03876908951445997
46,-0.07689393939429193,0.07307308613529423,TWFE_SunAb,-1.0522881058003137,0.2927241529772557,-0.22011455645866174,0.06632667767007788
47,-0.0859848484851984,0.06139563491889575,TWFE_SunAb,-1.4005042638419694,0.16143163723641818,-0.20631808173420374,0.03434838476380696
48,-0.08901515151550571,0.05131954477660688,TWFE_SunAb,-1.7345273014986236,0.08289336229628569,-0.18959961098064582,0.011569307949634386
49,-0.07007575757610864,0.0700181699588556,TWFE_SunAb,-1.000822466758084,0.31696671056543535,-0.20730884895886992,0.06715733380665263
50,-0.05984848484886674,0.07215965334062266,TWFE_SunAb,-0.8293898609290397,0.4069280353763206,-0.20127880653338248,0.08158183683564901
51,-0.11780303030338195,0.05123208526569812,TWFE_SunAb,-2.2993994816419403,0.021528058915430734,-0.21821607227703538,-0.017389988329728504
52,-0.12575757575792662,0.05464993464027568,TWFE_SunAb,-2.3011477796946225,0.021428982325069592,-0.2328694794103348,-0.018645672105518415
53,-0.11174242424277782,0.05495500449127511,TWFE_SunAb,-2.0333439197610934,0.04207662828990743,-0.21945225381591393,-0.0040325946696417175
54,-0.08750000000036351,0.05558634268698408,TWFE_SunAb,-1.5741276682492054,0.11552856474475842,-0.19644722969915368,0.021447229698426662
55,-0.12196969697005022,0.05558274190848673,TWFE_SunAb,-2.194380715706058,0.02825922564724403,-0.23090986927266927,-0.013029524667431167
56,-0.11515151515186768,0.05628653719757395,TWFE_SunAb,-2.04580919141764,0.04083343335263335,-0.22547110087358663,-0.004831929430148721
57,-0.15416666666701995,0.05529844434765487,TWFE_SunAb,-2.7879024172505122,0.005327427666248504,-0.262549625989516,-0.045783707344523916
58,-0.13825757575792738,0.06832403957520544,TWFE_SunAb,-2.023556812763462,0.04307504054059778,-0.27217023260361933,-0.004344918912235429
59,-0.11856060606095675,0.06389670956311104,TWFE_SunAb,-1.8555040920198553,0.06358992459749904,-0.2437958555352704,0.006674643413356884
60,-0.13825757575792702,0.06462523542231771,TWFE_SunAb,-2.139374423233143,0.03245925774613004,-0.26492070967809184,-0.011594441837762204
61,-0.18398268398303164,0.07159555583926283,TWFE_SunAb,-2.5697500609686723,0.010209248764123673,-0.3243073948811131,-0.043657973084950175
62,-0.1645021645025127,0.06798127368415431,TWFE_SunAb,-2.419815863803922,0.015567923630537248,-0.29774301254661567,-0.03126131645840974
63,-0.22727272727322828,0.09010720619333935,TWFE_SunAb,-2.522248073983988,0.011695122336397397,-0.40387960615969787,-0.050665848386758694
64,-0.1878787878792953,0.13039475009350163,TWFE_SunAb,-1.44084625910609,0.14969802188494621,-0.44344780183565924,0.06769022607706865
65,-0.24848484848462773,0.1449090108117584,TWFE_SunAb,-1.7147646450186442,0.08645755957914326,-0.5325012907109994,0.03553159374174389
66,-0.2808080808078613,0.11728527130031774,TWFE_SunAb,-2.3942314128159463,0.016696111130905092,-0.5106829884734932,-0.050933173142229365
67,-0.3191919191916979,0.09106923769722183,TWFE_SunAb,-3.5049367630913553,4.6118787074001644e-4,-0.49768434517777005,-0.14069949320562578
68,-0.3712121212120829,0.13257984266601172,TWFE_SunAb,-2.79991372555194,0.0051335237526498045,-0.6310638379134526,-0.11136040451071322
69,-0.4454545454545147,0.17385710854644307,TWFE_SunAb,-2.5621877021814083,0.010433931482741384,-0.7862082166618138,-0.10470087424721558
70,-0.4106060606060251,0.13289648860472117,TWFE_SunAb,-3.089668244187441,0.0020160914039581094,-0.6710783919431162,-0.15013372926893404
71,-0.40606060606057115,0.17300773650175366,TWFE_SunAb,-2.347066173289049,0.018965212758218785,-0.7451495386508039,-0.06697167347033839
72,-0.47424242424239527,0.132207950026802,TWFE_SunAb,-3.5870946047212287,3.37954509764614e-4,-0.7333652447647984,-0.21511960371999217
73,-0.40151515151511497,0.13221703302441168,TWFE_SunAb,-3.0367883950397063,0.0024048975419522583,-0.6606557743857047,-0.1423745286445252
74,-0.4015151515151181,0.1331131819137792,TWFE_SunAb,-3.016344029513093,0.002572796277040411,-0.6624121939336537,-0.14061810909658246
75,-0.40454545454542057,0.13221400542784295,TWFE_SunAb,-3.059777617630721,0.002228122611906451,-0.6636801434357759,-0.14541076565506528
76,-0.3560606060605749,0.21572662167126008,TWFE_SunAb,-1.6505176936538037,0.09890720912955873,-0.7788770150427424,0.06675580292159267
